"Word","Pronunciation","Chinese Definition","Definition","Example Sentence","Synonyms","Antonyms","Commonly Confused Words"
"calling","/ˈkɔː.lɪŋ/","職業, 召喚","A strong urge toward a particular way of life or career; a vocation.","She felt a calling to become a teacher.","vocation, profession","indifference","vocation"
"canal","/kəˈnæl/","運河","A man-made waterway used for transportation or irrigation.","The Panama Canal is a major shipping route.","waterway, channel","none","none"
"cannon","/ˈkæn.ən/","大砲","A large, heavy gun typically mounted on wheels, used in warfare.","The cannon fired at the enemy ships.","artillery, gun","none","none"
"carbon","/ˈkɑː.bən/","碳","A chemical element, often found in coal, diamonds, and graphite, essential for all living things.","The carbon footprint of the project was high.","none","none","none"
"cardboard","/ˈkɑːd.bɔːd/","紙板","A thick, stiff paper material used for making boxes and other containers.","The toys came in a cardboard box.","paperboard, carton","none","none"
"caretaker","/ˈkeəˌteɪ.kər/","管理員, 看守人","A person employed to take care of a building or person.","The caretaker locked the doors after everyone left.","guardian, custodian","none","none"
"carnival","/ˈkɑː.nɪ.vəl/","嘉年華","A public festival with music, dancing, and entertainment, often with parades and costumes.","The streets were filled with people celebrating the carnival.","festival, fair","none","fair"
"carp","/kɑːp/","鯉魚","A large freshwater fish that is often farmed or fished for food.","The lake is stocked with carp.","fish","none","none"
"carton","/ˈkɑː.tən/","紙盒, 紙箱","A light, strong container made of cardboard or plastic, typically used for liquids or food.","I bought a carton of milk at the store.","box, container","none","none"
"category","/ˈkæt.ə.ɡɔː.ri/","類別","A class or division of people or things with shared characteristics.","This book falls into the science fiction category.","class, type","none","none"
"cathedral","/kəˈθiː.drəl/","大教堂","A large and important church, often the seat of a bishop.","The cathedral is a historic landmark in the city.","church, basilica","chapel","basilica"
"caution","/ˈkɔː.ʃən/","謹慎, 小心","Care taken to avoid danger or mistakes.","Use caution when walking on the icy sidewalk.","care, prudence","recklessness","none"
"cautious","/ˈkɔː.ʃəs/","謹慎的","Careful to avoid potential problems or dangers.","He is very cautious when crossing the street.","careful, alert","reckless","prudent"
"celebrity","/sɪˈleb.rə.ti/","名人, 名氣","A famous person, especially in entertainment or sports; fame or public recognition.","The celebrity was surrounded by fans.","star, icon","unknown","famous"
"celery","/ˈsel.ər.i/","芹菜","A crisp, green vegetable often eaten raw or used in cooking.","She added chopped celery to the salad.","vegetable","none","none"
"cellar","/ˈsel.ər/","地窖, 地下室","A room below ground level in a house, often used for storage.","They store wine in the cellar.","basement, vault","attic","basement"
"cell-phone","/ˈsel fəʊn/","手機","A portable telephone that operates over a cellular network.","He forgot his cell-phone at home.","mobile phone, smartphone","landline","mobile phone"
"Celsius","/ˈsel.si.əs/","攝氏","A scale for measuring temperature where water freezes at 0° and boils at 100°.","The weather forecast said it will be 25 degrees Celsius tomorrow.","centigrade","Fahrenheit","centigrade"
"ceremony","/ˈser.ɪ.mə.ni/","儀式","A formal event held on important social or religious occasions.","The graduation ceremony will be held next week.","ritual, event","informality","ritual"
"certificate","/səˈtɪf.ɪ.kət/","證書","An official document proving completion of a course or legal transaction.","He received a certificate after completing the course.","document, diploma","none","diploma"
"chairperson","/ˈtʃeə.pɜː.sən/","主席, 主持人","The person who presides over a meeting or organization.","The chairperson called the meeting to order.","leader, president","member","chairman"
"chant","/tʃænt/","吟唱, 歌頌","A repeated rhythmic phrase, often used in religious or protest settings.","The crowd began to chant in unison.","song, mantra","silence","none"
"chatter","/ˈtʃæt.ər/","喋喋不休","To talk rapidly about trivial matters; continuous, often unimportant conversation.","The kids were chattering about their day at school.","babble, talk","silence","babble"
